SYMBOL,OPEN,HIGH,LOW,CLOSE,TOTTRDQTY
NIFTY 500,23995.85,24050.55,23956.5,23972.8,1255982475
TATAELXSI,5340.0,5815.0,5336.0,5813.5,983361
ELECON,480.0,524.5,480.0,516.1,7771113
BSOFT,421.45,445.55,417.3,442.1,1511486
SONATSOFTW,351.6,373.15,349.1,368.9,1884815
TITAN,4225.0,4312.1,4202.0,4302.0,2552779
KPITTECH,1139.8,1199.0,1139.4,1188.7,1129025
POWERINDIA,18824.0,19665.0,18720.0,19654.0,66778
DMART,3665.0,3822.5,3662.0,3818.1,733369
CONCORDBIO,1358.0,1455.0,1339.1,1407.4,388193
TATATECH,656.0,686.65,651.0,675.0,6094456
JKCEMENT,5712.0,5975.5,5688.5,5964.0,78206
INTELLECT,946.0,986.9,946.0,979.7,221056
PERSISTENT,6206.0,6471.0,6206.0,6460.0,309097
NEULANDLAB,14592.0,15020.0,14496.0,14973.0,34228
KALYANKJIL,505.0,535.0,502.75,515.2,12563620
RADICO,3139.0,3225.0,3115.0,3222.4,213841
ASAHIINDIA,974.0,1007.0,963.0,998.5,138241
TORNTPHARM,3936.8,4054.0,3936.0,4053.9,410354
GVT&D,3080.0,3185.6,3070.2,3171.5,205022
WOCKPHARMA,1465.7,1507.7,1460.7,1505.9,511107
MMTC,66.3,70.47,65.9,68.31,7534461
JBMA,639.0,681.0,634.0,656.5,3249596
TATACHEM,757.0,774.55,752.25,773.3,373039
NATCOPHARM,930.4,960.4,928.0,948.1,1437845
NAUKRI,1340.1,1388.7,1339.0,1367.4,1453476
ALKEM,5675.0,5825.0,5634.5,5787.0,73270
OFSS,7582.5,7773.5,7553.5,7764.5,60110
MANKIND,2241.0,2295.4,2231.3,2291.1,529279
JBCHEPHARM,1887.5,1922.0,1876.4,1919.2,252331
LUPIN,2161.0,2226.3,2146.3,2196.0,870134
JIOFIN,298.0,306.0,296.65,304.8,10221509
MEDANTA,1209.3,1238.2,1203.4,1234.0,117072
SOLARINDS,12856.0,13139.0,12813.0,13116.0,102999
GLENMARK,2076.0,2147.5,2070.7,2116.1,1006015
YESBANK,22.89,23.3,22.72,23.26,95428339
SAREGAMA,354.0,360.95,351.0,360.6,1352200
LTIM,5985.0,6124.0,5977.5,6100.0,168495
BHEL,296.95,305.9,296.5,302.7,7761958
NMDC,83.85,85.95,83.75,85.5,21247272
CYIENT,1132.2,1167.3,1132.2,1163.2,147914
IPCALAB,1475.5,1502.0,1446.1,1497.4,262381
CHALET,872.8,897.9,860.0,887.35,257088
HCLTECH,1620.8,1648.0,1616.7,1644.7,2339617
